,RecordKey,Website.ID,Website.RecordKey,SiteName,Site.section,ViceCounty,established,GridReference,Projection,Precision,lat,long,transect.OS1936.lat,Transect.OS1936.long,transect_length,section_length,section_grid_ref,H1,H2,H3,H4,habitat_description,L1,L2,land_use_description,Recorder,start_time,end_time,sunshine,wind_speed,temperature,TaxonVersionKey,species,latin,queens,workers,males,unknown,Comment,transect_comment,flower_visited,StartDate,EndDate,DateType,Year,Month,Day,Sensitive,Week,TotalCount,Year_Bin,site_count
118827,99507,8029919.0,iBRC8029919,Swale Way,Swale Way - S2,East Kent,2018.0,TQ927645,OSGB,100,51.34684753,0.765687108,51.34636307,0.767352343,1116.0,387.0,TQ927646,17. Dry semi/unimproved (flower rich) neutral grassland,21. Stands of tall herbs (e.g. nettle and willow-herb beds),22. Dry scrub/shrub thickets,,Grassland with scrubby edge,L6 - Outdoor amenity and open spaces,L12 - Transport tracks and ways,Road verge,"Rosie Earwaker, Karen Thorpe & Ruth Moss",10:05,11:00,Cloudy,4. Dust raised and small branches move,18.0,NHMSYS0000875593,,Bombus sylvarum,0,1,0,0,,,Bristly Oxtongue,16/08/2018,16/08/2018,D,2018,8,16,False,33,1,2017-2018,9
119056,99503,8029926.0,iBRC8029926,Shellness Road south,Shellness Road south - S1,East Kent,2018.0,TR045695,OSGB,100,51.38763046,0.937769532,51.387146,0.93945235,1190.0,172.0,TR044697,17. Dry semi/unimproved (flower rich) neutral grassland,21. Stands of tall herbs (e.g. nettle and willow-herb beds),19. Seasonally wet and wet marshy grasslands,,Neutral grassland which is very tussocky and grass dominated.  Some ditches and other water features.,L6 - Outdoor amenity and open spaces,L14 - Car parks,Part of coastal park with a car park occupying some of the site.,"Rosie Earwaker, Ruth Moss, Karen Thorpe & Dave Watson",14:25,15:10,Sunny/Cloudy,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,,Bombus sylvarum,0,0,1,0,,,Teasel,17/08/2018,17/08/2018,D,2018,8,17,False,33,1,2017-2018,4
119057,99499,8029930.0,iBRC8029930,Shellness Road south,Shellness Road south - S2,East Kent,2018.0,TR045695,OSGB,100,51.38763046,0.937769532,51.387146,0.93945235,1190.0,295.0,TR045696,17. Dry semi/unimproved (flower rich) neutral grassland,21. Stands of tall herbs (e.g. nettle and willow-herb beds),19. Seasonally wet and wet marshy grasslands,,Neutral grassland which is very tussocky and grass dominated.  Some ditches and other water features.,L6 - Outdoor amenity and open spaces,,Part of a coastal park.,"Rosie Earwaker, Ruth Moss, Karen Thorpe & Dave Watson",14:25,15:10,Sunny/Cloudy,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,,Bombus sylvarum,0,1,0,0,,,Common Bird's-foot-trefoil,17/08/2018,17/08/2018,D,2018,8,17,False,33,1,2017-2018,4
119058,99500,8029929.0,iBRC8029929,Shellness Road south,Shellness Road south - S2,East Kent,2018.0,TR045695,OSGB,100,51.38763046,0.937769532,51.387146,0.93945235,1190.0,295.0,TR045696,17. Dry semi/unimproved (flower rich) neutral grassland,21. Stands of tall herbs (e.g. nettle and willow-herb beds),19. Seasonally wet and wet marshy grasslands,,Neutral grassland which is very tussocky and grass dominated.  Some ditches and other water features.,L6 - Outdoor amenity and open spaces,,Part of a coastal park.,"Rosie Earwaker, Ruth Moss, Karen Thorpe & Dave Watson",14:25,15:10,Sunny/Cloudy,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,,Bombus sylvarum,0,0,1,0,,,Black Horehound,17/08/2018,17/08/2018,D,2018,8,17,False,33,1,2017-2018,4
119059,99501,8029928.0,iBRC8029928,Shellness Road south,Shellness Road south - S2,East Kent,2018.0,TR045695,OSGB,100,51.38763046,0.937769532,51.387146,0.93945235,1190.0,295.0,TR045696,17. Dry semi/unimproved (flower rich) neutral grassland,21. Stands of tall herbs (e.g. nettle and willow-herb beds),19. Seasonally wet and wet marshy grasslands,,Neutral grassland which is very tussocky and grass dominated.  Some ditches and other water features.,L6 - Outdoor amenity and open spaces,,Part of a coastal park.,"Rosie Earwaker, Ruth Moss, Karen Thorpe & Dave Watson",14:25,15:10,Sunny/Cloudy,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,,Bombus sylvarum,0,0,1,0,,,Spear Thistle,17/08/2018,17/08/2018,D,2018,8,17,False,33,1,2017-2018,4
119137,102955,7690739.0,iBRC7690739,"Riverside Country Park, Rainham","Riverside Country Park, Rainham - S4",East Kent,2011.0,TQ817676,OSGB,100,51.37831879,0.609495699,51.37783813,0.611147463,2015.0,705.0,TQ815678,22. Dry scrub/shrub thickets,15. Dry semi/unimproved (flower rich) chalk/limestone grassland,25. Hedgerows,,,L6 - Outdoor amenity and open spaces,,,"Springate, Simon",10:45,12:00,Sunny/Cloudy,4. Dust raised and small branches move,,NHMSYS0000875593,,Bombus sylvarum,0,3,0,0,,,Red Bartsia,18/08/2018,18/08/2018,D,2018,8,18,False,33,3,2017-2018,18
119483,103012,7688776.0,iBRC7688776,Lytes Cary Meadows,Lytes Cary Meadows - S1,North Somerset,2015.0,ST532259,OSGB,100,51.03049469,-2.66878891,51.03002548,-2.667457104,2319.0,338.0,ST537263,38. Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops,25. Hedgerows,,,"Margin of arable field abutted by hedge (mainly blackthorn), margin partly mown on a regular basis as forms part of estate walk.",L1 - Agriculture,L6 - Outdoor amenity and open spaces,See above.,"Butler, John",14:23,15:16,Cloudy,3. Leaves and twigs in slight motion,21.0,NHMSYS0000875593,,Bombus sylvarum,0,1,0,0,,,red bartsia,20/08/2018,20/08/2018,D,2018,8,20,False,34,1,2017-2018,9
119723,102288,7726766.0,iBRC7726766,RSPB Rainham Marshes - centre-woodland,RSPB Rainham Marshes - centre-woodland - S2,South Essex,2015.0,TQ549790,OSGB,100,51.48868179,0.229724601,51.48822021,0.231344625,2033.0,498.0,TQ547787,17. Dry semi/unimproved (flower rich) neutral grassland,22. Dry scrub/shrub thickets,21. Stands of tall herbs (e.g. nettle and willow-herb beds),,"Area bordering the visitor trail consists f recently planted native shrubs and contains areas of nettle and black horehound, ragwort, tufted vetch and black mustard with areas of bramble.",L6 - Outdoor amenity and open spaces,,Nature reserve,"Hoare, Jerry",11:02,12:15,Cloudy,"2. Wind felt on face, leaves rustle",21.0,NHMSYS0000875593,,Bombus sylvarum,0,1,2,0,,,,22/08/2018,22/08/2018,D,2018,8,22,False,34,3,2017-2018,30
119729,102281,7726773.0,iBRC7726773,RSPB Rainham Marshes - centre-woodland,RSPB Rainham Marshes - centre-woodland - S5,South Essex,2015.0,TQ549790,OSGB,100,51.48868179,0.229724601,51.48822021,0.231344625,2033.0,280.0,TQ549793,16. Dry semi/unimproved acid grassland,,,,"Acid grassland with areas of ragwort, nettle, chicory and vervain and patches of bare ground.",L6 - Outdoor amenity and open spaces,,Nature reserve,"Hoare, Jerry",11:02,12:15,Cloudy,"2. Wind felt on face, leaves rustle",21.0,NHMSYS0000875593,,Bombus sylvarum,0,4,0,0,,,,22/08/2018,22/08/2018,D,2018,8,22,False,34,4,2017-2018,30
119766,102275,7726804.0,iBRC7726804,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S1,South Essex,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,400.0,TQ547787,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:00,15:10,Cloudy,"2. Wind felt on face, leaves rustle",21.0,NHMSYS0000875593,,Bombus sylvarum,0,6,0,2,,,,22/08/2018,22/08/2018,D,2018,8,22,False,34,8,2017-2018,64
119769,102269,7726810.0,iBRC7726810,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S2,South Essex,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,183.0,TQ543788,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:00,15:10,Cloudy,"2. Wind felt on face, leaves rustle",21.0,NHMSYS0000875593,,Bombus sylvarum,0,2,0,0,,,,22/08/2018,22/08/2018,D,2018,8,22,False,34,2,2017-2018,64
119774,102267,7726812.0,iBRC7726812,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S3,South Essex,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,265.0,TQ541789,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:00,15:10,Cloudy,"2. Wind felt on face, leaves rustle",21.0,NHMSYS0000875593,,Bombus sylvarum,0,2,0,0,,,,22/08/2018,22/08/2018,D,2018,8,22,False,34,2,2017-2018,64
119778,102265,7726814.0,iBRC7726814,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S4,South Essex,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,88.0,TQ540791,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:00,15:10,Cloudy,"2. Wind felt on face, leaves rustle",21.0,NHMSYS0000875593,,Bombus sylvarum,0,2,1,0,,,,22/08/2018,22/08/2018,D,2018,8,22,False,34,3,2017-2018,64
119780,102262,7726817.0,iBRC7726817,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S5,South Essex,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,152.0,TQ540791,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:00,15:10,Cloudy,"2. Wind felt on face, leaves rustle",21.0,NHMSYS0000875593,,Bombus sylvarum,0,3,0,0,,,,22/08/2018,22/08/2018,D,2018,8,22,False,34,3,2017-2018,64
119783,102259,7726820.0,iBRC7726820,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S7,South Essex,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,694.0,TQ540791,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:00,15:10,Cloudy,"2. Wind felt on face, leaves rustle",21.0,NHMSYS0000875593,,Bombus sylvarum,0,4,1,0,,,,22/08/2018,22/08/2018,D,2018,8,22,False,34,5,2017-2018,64
120182,94112,8885856.0,iBRC8885856,RSPB West Canvey Marsh,RSPB West Canvey Marsh - S4,,2017.0,TQ770846,OSGB,100,51.53250504,0.550533235,51.53203964,0.552184999,2525.0,460.0,TQ768845,25. Hedgerows,"32. Bare ground/woodland herb/grass mosaics of woodland rides, hedgebanks and green lanes",22. Dry scrub/shrub thickets,,"footpath between lines of dense hedgerow of elder, blackthorn, bramble, hawthorn, lined with nettle species and other flowering plants",L6 - Outdoor amenity and open spaces,,footpath sides are cut throughout summer to maintain open footpath,"Holden, Rosemary",10:45,12:00,Sunny,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,,Bombus sylvarum,0,0,0,1,,,dandelion,27/08/2018,27/08/2018,D,2018,8,27,False,35,1,2017-2018,65
120183,94111,8885857.0,iBRC8885857,RSPB West Canvey Marsh,RSPB West Canvey Marsh - S5,,2017.0,TQ770846,OSGB,100,51.53250504,0.550533235,51.53203964,0.552184999,2525.0,460.0,TQ764847,17. Dry semi/unimproved (flower rich) neutral grassland,22. Dry scrub/shrub thickets,1. Marine saltmarshes/estuaries/saline reedbeds,,sea wall with long vegetation and scattered scrub. Grazed by cattle.,L6 - Outdoor amenity and open spaces,,grazed by cattle. public footpath through middle,"Holden, Rosemary",10:45,12:00,Sunny,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,,Bombus sylvarum,0,0,0,1,,,bristly oxtongue,27/08/2018,27/08/2018,D,2018,8,27,False,35,1,2017-2018,65
120184,94110,8885858.0,iBRC8885858,RSPB West Canvey Marsh,RSPB West Canvey Marsh - S6,,2017.0,TQ770846,OSGB,100,51.53250504,0.550533235,51.53203964,0.552184999,2525.0,519.0,TQ765849,17. Dry semi/unimproved (flower rich) neutral grassland,25. Hedgerows,"32. Bare ground/woodland herb/grass mosaics of woodland rides, hedgebanks and green lanes",,footpath flanked by hay meadow and hedgerow. nettle species and other flowering plants grow on footpath edges,L6 - Outdoor amenity and open spaces,L1 - Agriculture,footpath edges are mown periodically throughout summer to keep footpath open.,"Holden, Rosemary",10:45,12:00,Sunny,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,,Bombus sylvarum,0,0,0,2,,,common knapweed and bristly oxtongue,27/08/2018,27/08/2018,D,2018,8,27,False,35,2,2017-2018,65
121810,98797,8137690.0,iBRC8137690,Northward Hill - footpath through scrub,Northward Hill - footpath through scrub - S1,West Kent,2018.0,TQ773764,OSGB,100,51.45875549,0.550737679,51.45828629,0.55238682,274.0,274.0,TQ772765,22. Dry scrub/shrub thickets,15. Dry semi/unimproved (flower rich) chalk/limestone grassland,,,"Footh path through ruderal/scrub/grassland area - surrounded by meadows used for hay, managed woodland and grazing marsh",L6 - Outdoor amenity and open spaces,L6 - Outdoor amenity and open spaces,RSPB Nature Reserve. Open to the public but majority of site is managed as grazing marsh/managed woodland.,"Fidczuk-Sterry, Kate",14:45,15:00,Sunny/Cloudy,4. Dust raised and small branches move,20.0,NHMSYS0000875593,,Bombus sylvarum,0,0,0,1,,,White dead nettle,18/09/2018,18/09/2018,D,2018,9,18,False,38,1,2017-2018,8
121813,98800,8137687.0,iBRC8137687,Northward Hill - footpath through scrub,Northward Hill - footpath through scrub - S1,West Kent,2018.0,TQ773764,OSGB,100,51.45875549,0.550737679,51.45828629,0.55238682,274.0,274.0,TQ772765,22. Dry scrub/shrub thickets,15. Dry semi/unimproved (flower rich) chalk/limestone grassland,,,"Footh path through ruderal/scrub/grassland area - surrounded by meadows used for hay, managed woodland and grazing marsh",L6 - Outdoor amenity and open spaces,L6 - Outdoor amenity and open spaces,RSPB Nature Reserve. Open to the public but majority of site is managed as grazing marsh/managed woodland.,"Fidczuk-Sterry, Kate",14:45,15:00,Sunny/Cloudy,4. Dust raised and small branches move,20.0,NHMSYS0000875593,,Bombus sylvarum,0,0,1,0,,,Hoary ragwort,18/09/2018,18/09/2018,D,2018,9,18,False,38,1,2017-2018,8
121815,98802,8137685.0,iBRC8137685,Northward Hill - footpath through scrub,Northward Hill - footpath through scrub - S1,West Kent,2018.0,TQ773764,OSGB,100,51.45875549,0.550737679,51.45828629,0.55238682,274.0,274.0,TQ772765,22. Dry scrub/shrub thickets,15. Dry semi/unimproved (flower rich) chalk/limestone grassland,,,"Footh path through ruderal/scrub/grassland area - surrounded by meadows used for hay, managed woodland and grazing marsh",L6 - Outdoor amenity and open spaces,L6 - Outdoor amenity and open spaces,RSPB Nature Reserve. Open to the public but majority of site is managed as grazing marsh/managed woodland.,"Fidczuk-Sterry, Kate",14:45,15:00,Sunny/Cloudy,4. Dust raised and small branches move,20.0,NHMSYS0000875593,,Bombus sylvarum,0,1,0,0,,,White dead nettle,18/09/2018,18/09/2018,D,2018,9,18,False,38,1,2017-2018,8
122140,99162,8058399.0,iBRC8058399,"Riverside Country Park, Rainham","Riverside Country Park, Rainham - S4",East Kent,2011.0,TQ817676,OSGB,100,51.37831879,0.609495699,51.37783813,0.611147463,2015.0,705.0,TQ815678,22. Dry scrub/shrub thickets,15. Dry semi/unimproved (flower rich) chalk/limestone grassland,25. Hedgerows,,,L6 - Outdoor amenity and open spaces,,,"Springate, Simon",13:50,14:58,Sunny,3. Leaves and twigs in slight motion,,NHMSYS0000875593,,Bombus sylvarum,0,2,0,0,,,White Dead Nettle,27/09/2018,27/09/2018,D,2018,9,27,False,39,2,2017-2018,18
122179,98966,8128841.0,iBRC8128841,Swale Way,Swale Way - S2,East Kent,2018.0,TQ927645,OSGB,100,51.34684753,0.765687108,51.34636307,0.767352343,1116.0,387.0,TQ927646,17. Dry semi/unimproved (flower rich) neutral grassland,21. Stands of tall herbs (e.g. nettle and willow-herb beds),22. Dry scrub/shrub thickets,,Grassland with scrubby edge,L6 - Outdoor amenity and open spaces,L12 - Transport tracks and ways,Road verge,"Thorpe, Karen",15:00,15:40,Sunny,1. Slight smoke drift,21.0,NHMSYS0000875593,,Bombus sylvarum,0,0,1,1,,,lucerne,27/09/2018,27/09/2018,D,2018,9,27,False,39,2,2017-2018,9
122321,97289,8570036.0,iBRC8570036,Long Reach Sewage Treatment Works - C1b,Long Reach Sewage Treatment Works - C1b - S1,West Kent,2018.0,TQ55117653,OSGB,10,51.46643448,0.231658027,51.46596909,0.23327744,242.0,124.0,TQ551765,21. Stands of tall herbs (e.g. nettle and willow-herb beds),18. Agriculturally improved/re-seeded/heavily fertilised grassland,,,,L19 - Water storage and treatment,L14 - Car parks,,"Fidczuk-Sterry, Kate",12:00,12:20,Cloudy,1. Slight smoke drift,17.0,NHMSYS0000875593,,Bombus sylvarum,0,1,0,0,,,,03/10/2018,03/10/2018,D,2018,10,3,False,40,1,2017-2018,15
125567,128486,10034832.0,iBRC10034832,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S3,,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,265.0,TQ541789,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:00,15:20,Sunny,"2. Wind felt on face, leaves rustle",25.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,,20/04/2019,20/04/2019,D,2019,4,20,False,16,1,2019-2020,64
126351,128446,10039551.0,iBRC10039551,Shellness Road north,Shellness Road north - S4,,2018.0,TR042699,OSGB,100,51.39132309,0.933699667,51.39084244,0.935382247,1345.0,402.0,TR043697,17. Dry semi/unimproved (flower rich) neutral grassland,21. Stands of tall herbs (e.g. nettle and willow-herb beds),30. Small man-made woodlands,,Rough grassland with woodland edge habitat.,L6 - Outdoor amenity and open spaces,,,"Moss, Ruth",11:15,12:00,Sunny/Cloudy,5. Small trees in leaf begin to sway,14.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,Deadnettle,26/04/2019,26/04/2019,D,2019,4,26,False,17,1,2019-2020,3
127989,126516,10237455.0,iBRC10237455,RSPB Rainham Marshes - centre-woodland,RSPB Rainham Marshes - centre-woodland - S6,,2015.0,TQ549790,OSGB,100,51.48868179,0.229724601,51.48822021,0.231344625,2033.0,595.0,TQ548795,16. Dry semi/unimproved acid grassland,,,,"Acid grassland bordering a trackway, consisting of areas of bare ground and sand heaps. Further down the track there are areas of bramble, knapweed and fine grasses. There has been some recent planting of native shrubs towards the roadside of this area.",L12 - Transport tracks and ways,,Trackway with bordering land left for nature conservation interest.,"Hoare, Jerry",11:00,12:15,Sunny,"2. Wind felt on face, leaves rustle",22.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,,15/05/2019,15/05/2019,D,2019,5,15,False,20,1,2019-2020,30
129838,126766,10225790.0,iBRC10225790,"Riverside Country Park, Rainham","Riverside Country Park, Rainham - S3",,2011.0,TQ817676,OSGB,100,51.37831879,0.609495699,51.37783813,0.611147463,2015.0,330.0,TQ818676,15. Dry semi/unimproved (flower rich) chalk/limestone grassland,25. Hedgerows,40. Bare ground/weed communities of post-industrial sites e.g. quarries/pits/road/rail/landfill,,,L6 - Outdoor amenity and open spaces,,,"Springate, Simon",11:02,12:40,Sunny/Cloudy,3. Leaves and twigs in slight motion,,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,Thistle,25/05/2019,25/05/2019,D,2019,5,25,False,21,1,2019-2020,18
131593,152782,10312887.0,iBRC10312887,Cliffe RSPB,Cliffe RSPB - S2,West Kent,2018.0,TQ724762,OSGB,100,51.45847321,0.480178505,51.458004,0.481821001,1657.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,"Cobb, Alan",11:15,12:50,Sunny,4. Dust raised and small branches move,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,2,0,0,0,,,bramble,03/06/2019,03/06/2019,D,2019,6,3,False,23,2,2019-2020,28
135382,150453,10466115.0,iBRC10466115,Ellenden Farm,Ellenden Farm - S3,,2019.0,TR099630,OSGB,100,51.32728958,1.011442542,51.3268013,1.013130069,2312.0,200.0,TR097629,,,,,,,,,"Cartwright, Bex",13:15,15:00,Sunny,3. Leaves and twigs in slight motion,18.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,foraging on patch of red clover at field edge,,red clover,18/06/2019,18/06/2019,D,2019,6,18,False,25,1,2019-2020,11
136638,145428,10838675.0,iBRC10838675,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S1,,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,400.0,TQ547787,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:10,15:50,Cloudy,1. Slight smoke drift,22.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,,21/06/2019,21/06/2019,D,2019,6,21,False,25,1,2019-2020,64
136643,145415,10838688.0,iBRC10838688,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S3,,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,265.0,TQ541789,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:10,15:50,Cloudy,1. Slight smoke drift,22.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,,21/06/2019,21/06/2019,D,2019,6,21,False,25,1,2019-2020,64
136651,145405,10838698.0,iBRC10838698,RSPB Rainham Marshes - river wall & anthill,RSPB Rainham Marshes - river wall & anthill - S7,,2018.0,TQ542789,OSGB,100,51.48797607,0.219601795,51.4875145,0.221220836,2026.0,694.0,TQ540791,17. Dry semi/unimproved (flower rich) neutral grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Hoare, Jerry",14:10,15:50,Cloudy,1. Slight smoke drift,22.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,,21/06/2019,21/06/2019,D,2019,6,21,False,25,1,2019-2020,64
141664,131944,12079447.0,iBRC12079447,Victory Wood One,Victory Wood One - S1,,2019.0,TR090624,OSGB,100,51.32223129,0.998196304,51.32174301,0.9998824,2402.0,348.0,TR086626,18. Agriculturally improved/re-seeded/heavily fertilised grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Inglis, Claire",09:00,10:35,Cloudy,1. Slight smoke drift,14.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,2,0,0,One moved between this and red clover,,Red Bartsia,09/07/2019,09/07/2019,D,2019,7,9,False,28,2,2019-2020,47
141671,131938,12079453.0,iBRC12079453,Victory Wood One,Victory Wood One - S3,,2019.0,TR090624,OSGB,100,51.32223129,0.998196304,51.32174301,0.9998824,2402.0,767.0,TR088626,18. Agriculturally improved/re-seeded/heavily fertilised grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Inglis, Claire",09:00,10:35,Cloudy,1. Slight smoke drift,14.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,Red Bartsia,09/07/2019,09/07/2019,D,2019,7,9,False,28,1,2019-2020,47
141672,131939,12079452.0,iBRC12079452,Victory Wood One,Victory Wood One - S3,,2019.0,TR090624,OSGB,100,51.32223129,0.998196304,51.32174301,0.9998824,2402.0,767.0,TR088626,18. Agriculturally improved/re-seeded/heavily fertilised grassland,,,,,L6 - Outdoor amenity and open spaces,,,"Inglis, Claire",09:00,10:35,Cloudy,1. Slight smoke drift,14.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,Red Clover,09/07/2019,09/07/2019,D,2019,7,9,False,28,1,2019-2020,47
141673,131933,12079458.0,iBRC12079458,Victory Wood One,Victory Wood One - S4,,2019.0,TR090624,OSGB,100,51.32223129,0.998196304,51.32174301,0.9998824,2402.0,414.0,TR093620,18. Agriculturally improved/re-seeded/heavily fertilised grassland,30. Small man-made woodlands,,,,L6 - Outdoor amenity and open spaces,L3 - Managed forest,,"Inglis, Claire",09:00,10:35,Cloudy,1. Slight smoke drift,14.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,Red Clover,09/07/2019,09/07/2019,D,2019,7,9,False,28,1,2019-2020,47
141674,131934,12079457.0,iBRC12079457,Victory Wood One,Victory Wood One - S4,,2019.0,TR090624,OSGB,100,51.32223129,0.998196304,51.32174301,0.9998824,2402.0,414.0,TR093620,18. Agriculturally improved/re-seeded/heavily fertilised grassland,30. Small man-made woodlands,,,,L6 - Outdoor amenity and open spaces,L3 - Managed forest,,"Inglis, Claire",09:00,10:35,Cloudy,1. Slight smoke drift,14.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,3,0,0,,,Red Bartsia,09/07/2019,09/07/2019,D,2019,7,9,False,28,3,2019-2020,47
141748,135961,11779853.0,iBRC11779853,RSPB West Canvey Marsh,RSPB West Canvey Marsh - S4,,2017.0,TQ770846,OSGB,100,51.53250504,0.550533235,51.53203964,0.552184999,2525.0,460.0,TQ768845,25. Hedgerows,"32. Bare ground/woodland herb/grass mosaics of woodland rides, hedgebanks and green lanes",22. Dry scrub/shrub thickets,,"footpath between lines of dense hedgerow of elder, blackthorn, bramble, hawthorn, lined with nettle species and other flowering plants",L6 - Outdoor amenity and open spaces,,footpath sides are cut throughout summer to maintain open footpath,"Hill, Andy",13:30,15:30,Cloudy,"2. Wind felt on face, leaves rustle",20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,2,0,0,0,,,black horehound,09/07/2019,09/07/2019,D,2019,7,9,False,28,2,2019-2020,65
141749,135962,11779852.0,iBRC11779852,RSPB West Canvey Marsh,RSPB West Canvey Marsh - S4,,2017.0,TQ770846,OSGB,100,51.53250504,0.550533235,51.53203964,0.552184999,2525.0,460.0,TQ768845,25. Hedgerows,"32. Bare ground/woodland herb/grass mosaics of woodland rides, hedgebanks and green lanes",22. Dry scrub/shrub thickets,,"footpath between lines of dense hedgerow of elder, blackthorn, bramble, hawthorn, lined with nettle species and other flowering plants",L6 - Outdoor amenity and open spaces,,footpath sides are cut throughout summer to maintain open footpath,"Hill, Andy",13:30,15:30,Cloudy,"2. Wind felt on face, leaves rustle",20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,black horehound,09/07/2019,09/07/2019,D,2019,7,9,False,28,1,2019-2020,65
143028,144485,10953083.0,iBRC10953083,Lytes Cary,Lytes Cary - S2,,2013.0,ST535267,OSGB,100,51.03770447,-2.664609194,51.03723526,-2.663276672,1940.0,576.0,ST532267,38. Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops,,,,,L1 - Agriculture,,,"Butler, John",13:07,14:59,Sunny/Cloudy,3. Leaves and twigs in slight motion,22.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,white clover,16/07/2019,16/07/2019,D,2019,7,16,False,29,1,2019-2020,12
